"DIALECT_CD","GEAR_CD","DIALECT_GEAR_NM","SEQ","LU_DT","LU_USER_ID"
"EN02","NET_UNK","NET-UNKNOWN TYPE",,16-AUG-13,162
"EN02","NET_SEINE","SEINE NET",,16-AUG-13,162
"EN02","NET_TRAM","TRAMMEL NET",,16-AUG-13,162
"EN02","HAND","BY HAND",,16-AUG-13,162
"EN02","HAND_SD","BY HAND WHILE SKIN DVING",,16-AUG-13,162
"EN02","SCUBA","BY HAND WITH SCUBA",,16-AUG-13,162
"EN02","HAND_SNARE","BY SNARE WITH SCUBA",,16-AUG-13,162
"EN02","HAND_GAFF_SCUBA","HAND GAFF WHILE SCUBA DIVING",,16-AUG-13,162
"EN02","HAND_GAFF_SD","HAND GAFF WHILE SKIN DIVING",,16-AUG-13,162
"EN02","HAND_SNARE_SD","HAND SNARE WHILE SKIN DIVING",,16-AUG-13,162
"EN02","HAND_UNK","SPEAR OR BY HAND-UNKNOWN TYPE",,16-AUG-13,162
"EN02","SPEAR_SD","SPEARFISHING WHILE SKIN DVING",,16-AUG-13,162
"EN02","SPEAR_SCUBA","SPEARFISHING WITH SCUBA",,16-AUG-13,162
"EN02","TRAP_FISH","FISH TRAP",,16-AUG-13,162
"EN02","TRAP_LCRAB","LAND CRAB TRAP",,16-AUG-13,162
"EN02","TRAP_LOB","LOBSTER TRAP",,16-AUG-13,162
"EN02","TRAP_UNK","TRAP-UNKNOWN TYPE",,16-AUG-13,162
